"eh1" "eh2" "p.val" "adj.pval"
640 737 0.638350408078714 1
431 438 0.905637287855839 1
2016 2213 0.46432141648839 1
443 702 0.0175100518451831 0.273594560080986
346 324 0.508181144512459 1
315 318 0.974154592938961 1
3134 1983 2.10517531217053e-10 2.33908368018947e-08
602 596 0.95952713529664 1
485 586 0.00492124422555998 0.0946393120299995
492 465 0.889697858815354 1
270 236 0.3148295416135 1
201 242 0.67091754318962 1
499 553 0.237398135601556 1
415 512 0.336703853565907 1
603 505 0.721358451177693 1
573 606 0.623136895510601 1
178 163 0.842223328600678 1
651 558 0.57522269087111 1
959 620 0.0219776726902795 0.323201068974699
663 782 0.682011211077418 1
522 458 0.768429616987627 1
723 794 0.726614190250147 1
669 492 0.181122216934672 1
893 888 0.985629431914043 1
291 256 0.755795366544539 1
331 352 0.86177593455138 1
163 224 0.211239039161565 1
294 287 0.828308906189114 1
828 623 4.48673986720449e-05 0.00195075646400195
673 1053 0.359888873521243 1
451 363 0.616430826787505 1
279 309 0.586449439691322 1
643 446 0.198295959720325 1
359 381 0.543436205559916 1
537 695 0.0457838445082817 0.543549737336615
553 553 1 1
190 174 0.85755738757633 1
246 338 0.40424195056637 1
217 310 0.408388217325982 1
1110 890 0.556161443289943 1
168 195 0.620098668124574 1
1153 936 0.658676765429854 1
297 280 0.799634756927803 1
581 657 0.806246333780176 1
514 484 0.889881507198337 1
1009 908 0.499599925978632 1
303 315 0.648900104684803 1
1061 1079 0.948962700434453 1
581 640 0.816422443158848 1
849 1017 0.4226361181318 1
80 382 0.0102021612515876 0.178985285115572
1025 1011 0.976899782544333 1
1452 2761 0.135321056494641 0.952965186581982
210 215 0.876653804296468 1
672 876 0.517008182294655 1
999 1106 0.718600569276677 1
226 249 0.668200274200683 1
452 669 0.305220383786214 1
1324 1461 0.820292917507175 1
508 507 0.999936657516334 1
739 657 0.660227227588827 1
607 378 1.18483321413764e-06 8.46309438669744e-05
334 360 0.769641269073952 1
487 503 0.931856849646601 1
418 422 0.896478321628616 1
377 367 0.955696744879107 1
178 170 0.867769495168917 1
224 214 0.716815601408282 1
567 955 0.19204110858356 1
132 110 0.682639141042799 1
1057 942 0.61786764264539 1
304 281 0.853239561220144 1
340 393 0.0646000646294189 0.679351060502625
442 449 0.85963725703006 1
468 504 0.80429749723382 1
2153 1606 0.497360022472534 1
922 998 0.837863802171668 1
