"","eh1","eh2","p.val","adj.pval"
"274",404,358,0.235460630167768,0.99590037707584
"275",418,427,0.824940459420834,1
"276",510,627,0.376917750976045,0.99590037707584
"277",224,221,0.96178136230313,1
"278",264,355,0.35835092676734,0.99590037707584
"279",754,1191,0.105878034980275,0.99590037707584
"280",629,563,0.535032470227906,0.99590037707584
"281",459,418,0.311546159210862,0.99590037707584
"282",489,529,0.764294266604675,1
"283",351,297,0.574998275169681,0.99590037707584
"284",3807,2004,0.0323598583522199,0.980601768249087
"285",276,253,0.809475012222965,1
"286",157,136,0.308089297179257,0.99590037707584
"287",519,400,0.299763874036944,0.99590037707584
"288",455,538,0.553853610987651,0.99590037707584
"289",317,374,0.443388220972738,0.99590037707584
"290",343,303,0.482665898856678,0.99590037707584
"291",105,107,0.962822728439414,1
"292",453,470,0.87449931945418,1
"293",637,742,0.372015951916792,0.99590037707584
"294",932,780,0.0960305452386168,0.99590037707584
"295",372,300,0.51184241737002,0.99590037707584
"296",180,181,0.999936657516334,1
"297",241,301,0.0497196719584932,0.99590037707584
"298",138,197,0.0235686289597777,0.941455693917085
"299",212,260,0.491379015429447,0.99590037707584
"300",540,502,0.360514885858522,0.99590037707584
"301",330,334,0.960418489154612,1
"302",231,221,0.749625950728854,1
"303",847,926,0.13371017569473,0.99590037707584
"304",922,971,0.69053704668302,1
"305",645,622,0.852125291880705,1
"306",347,340,0.820972329367527,1
"307",496,442,0.373465555435356,0.99590037707584
"308",1079,977,0.679662133040453,1
"309",260,282,0.701515366527067,1
"310",219,222,0.935852142851071,1
"311",341,320,0.619769701038104,0.999628550061459
"312",562,485,0.506566415993954,0.99590037707584
"313",315,389,0.429815753224963,0.99590037707584
"314",696,721,0.897082563507194,1
"315",770,702,0.451066915210906,0.99590037707584
"316",1074,1123,0.839696099033745,1
"317",539,474,0.328840202080763,0.99590037707584
"318",505,513,0.932160304966323,1
"319",346,566,0.0530638828114836,0.99590037707584
"320",790,798,0.947932086647071,1
"321",1354,1294,0.273877701330052,0.99590037707584
"322",664,816,0.529004544875243,0.99590037707584
"323",807,1030,0.473202351826732,0.99590037707584
"324",735,725,0.915227905183907,1
"325",358,312,0.597236930505043,0.99590037707584
"326",1187,1582,0.183680851090518,0.99590037707584
"327",487,397,0.502841567829316,0.99590037707584
"328",884,835,0.831733197161567,1
"329",640,737,0.326044093056571,0.99590037707584
"330",431,438,0.844826044331387,1
"331",2016,2213,0.700865181950341,1
"332",443,702,0.152497489096123,0.99590037707584
"333",346,324,0.752006675462405,1
"334",315,318,0.966958396903858,1
"335",3134,1983,0.0514945266355875,0.99590037707584
"336",602,596,0.962706020679421,1
"337",485,586,0.44465004825739,0.99590037707584
"338",492,465,0.853523927389496,1
"339",270,236,0.195645767937954,0.99590037707584
"340",201,242,0.396697345594726,0.99590037707584
"341",499,553,0.652260509453723,1
"342",415,512,0.386972686051375,0.99590037707584
"343",603,505,0.0660717084029123,0.99590037707584
"344",573,606,0.352259807572743,0.99590037707584
"345",178,163,0.496144104192966,0.99590037707584
"346",651,558,0.460722200223795,0.99590037707584
"347",959,620,0.136739583619561,0.99590037707584
"348",663,782,0.488110591590954,0.99590037707584
"349",522,458,0.672231053735054,1
"350",723,794,0.436899828448374,0.99590037707584
"351",669,492,0.289585415775006,0.99590037707584
"352",893,888,0.989412179582083,1
"353",291,256,0.208516418294722,0.99590037707584
"354",331,352,0.444136200891589,0.99590037707584
"355",163,224,0.24700910151984,0.99590037707584
"356",294,287,0.825172378258777,1
"357",828,623,0.218833987018149,0.99590037707584
"358",673,1053,0.17007452732259,0.99590037707584
"359",451,363,0.283763537676708,0.99590037707584
"360",279,309,0.360767760019516,0.99590037707584
"361",643,446,0.220140039214102,0.99590037707584
"362",359,381,0.715747509822009,1
"363",537,695,0.328139942560781,0.99590037707584
"364",553,553,1,1
"365",190,174,0.810972238532264,1
"366",246,338,0.0277092330304239,0.952869696432698
"367",217,310,0.152902430438998,0.99590037707584
"368",1110,890,0.341502425757487,0.99590037707584
"369",168,195,0.653946264403638,1
"370",1153,936,0.194179384098407,0.99590037707584
"371",297,280,0.531526572529108,0.99590037707584
"372",581,657,0.592521644390585,0.99590037707584
"373",514,484,0.793414580657892,1
"374",1009,908,0.715083684351648,1
"375",303,315,0.88969966306327,1
"376",1061,1079,0.953431929201267,1
"377",581,640,0.534154615574412,0.99590037707584
"378",849,1017,0.239677822357817,0.99590037707584
"379",80,382,0.00140069059741943,0.434786644390243
"380",1025,1011,0.967706773961534,1
"381",1452,2761,0.00889108307967556,0.736657485303947
"382",210,215,0.951511166639346,1
"383",672,876,0.191200891827533,0.99590037707584
"384",999,1106,0.748172739059676,1
"385",226,249,0.31282603776818,0.99590037707584
"386",452,669,0.107314640687768,0.99590037707584
"387",1324,1461,0.546477510487383,0.99590037707584
"388",508,507,0.999936657516334,1
"389",739,657,0.601590613956008,0.99590037707584
"390",607,378,0.119179143165813,0.99590037707584
"391",334,360,0.795496724825327,1
"392",487,503,0.829549256735853,1
"393",418,422,0.955248254824134,1
"394",377,367,0.86638083885444,1
"395",178,170,0.894638998955234,1
"396",224,214,0.791507315990994,1
"397",567,955,0.113635883607033,0.99590037707584
"398",132,110,0.34234716628728,0.99590037707584
"399",1057,942,0.372120628293009,0.99590037707584
"400",304,281,0.555059578186568,0.99590037707584
"401",340,393,0.640776664366738,1
"402",442,449,0.929029457257172,1
"403",468,504,0.263826121668956,0.99590037707584
"404",2153,1606,0.100248906691959,0.99590037707584
"405",922,998,0.657318926441726,1
"406",1351,819,0.0813873360329584,0.99590037707584
"407",490,500,0.803128587121866,1
"408",545,603,0.648828083727462,1
"409",964,1240,0.287452391675695,0.99590037707584
"410",384,429,0.413347474553318,0.99590037707584
"411",290,315,0.543636991409678,0.99590037707584
"412",367,403,0.721878254016199,1
"413",448,463,0.917888378129777,1
"414",703,513,0.00264295234341442,0.434786644390243
"415",539,469,0.531801551357231,0.99590037707584
"416",575,657,0.596396342924638,0.99590037707584
"417",616,587,0.86750844630938,1
"418",580,415,0.157623634300249,0.99590037707584
"419",200,234,0.562392328623691,0.99590037707584
"420",246,234,0.645682146163497,1
"421",530,413,0.42012577551823,0.99590037707584
"422",616,461,0.339842124708714,0.99590037707584
"423",364,781,0.0396105065960376,0.99590037707584
"424",604,659,0.129871369301731,0.99590037707584
"425",556,407,0.0236617558899369,0.941455693917085
"426",269,256,0.601317276856656,0.99590037707584
"427",697,1119,0.0926263492815581,0.99590037707584
"428",210,195,0.510250247296283,0.99590037707584
"429",343,427,0.117810334116201,0.99590037707584
"430",383,390,0.937987811783037,1
"431",702,628,0.703261874375837,1
"432",496,600,0.429448942009084,0.99590037707584
"433",1126,956,0.296894578390541,0.99590037707584
"434",310,386,0.529386280409976,0.99590037707584
"435",466,543,0.441397111628097,0.99590037707584
"436",975,848,0.18037398189066,0.99590037707584
"437",447,412,0.472793464934736,0.99590037707584
"438",905,936,0.816619101654314,1
"439",541,515,0.804854170534253,1
"440",457,504,0.286790430133956,0.99590037707584
"441",1016,1088,0.59801498782081,0.99590037707584
"442",762,639,0.328972037481397,0.99590037707584
"443",274,285,0.675597126693232,1
"444",197,196,0.999936657516334,1
"445",709,785,0.595294466933298,0.99590037707584
"446",2818,2355,0.566950563494725,0.99590037707584
"447",550,603,0.743697756123288,1
"448",556,489,0.610563884900285,0.99590037707584
"449",121,132,0.785044406727537,1
"450",1419,1568,0.478497353021128,0.99590037707584
"451",849,823,0.544244823591405,0.99590037707584
"452",884,837,0.379836863759624,0.99590037707584
"453",537,395,0.384229787695167,0.99590037707584
"454",376,484,0.298920595640164,0.99590037707584
"455",445,284,0.183286310347754,0.99590037707584
"456",93,83,0.597127916499402,0.99590037707584
"457",489,548,0.672045277421788,1
"458",273,361,0.244173763065928,0.99590037707584
"459",1216,1276,0.724986406913124,1
"460",317,295,0.396052353581685,0.99590037707584
"461",607,573,0.750494692235763,1
"462",424,426,0.990457601519927,1
"463",402,551,0.250221729914206,0.99590037707584
"464",3021,2956,0.860603834505427,1
"465",515,612,0.543623301776008,0.99590037707584
"466",189,307,0.0997177434753639,0.99590037707584
"467",655,797,0.472511504807054,0.99590037707584
"468",205,179,0.28521423764626,0.99590037707584
"469",252,238,0.860377334465245,1
"470",681,843,0.175332191654569,0.99590037707584
"471",621,617,0.986813579989146,1
"472",710,713,0.968190448158557,1
"473",943,1001,0.403015287213498,0.99590037707584
"474",368,650,0.049291146868014,0.99590037707584
"475",533,641,0.456626804934808,0.99590037707584
"476",508,514,0.976931614602574,1
"477",441,483,0.601484834700632,0.99590037707584
"478",620,541,0.245712284182408,0.99590037707584
"479",517,467,0.412474617877102,0.99590037707584
"480",505,526,0.568574220576638,0.99590037707584
"481",525,551,0.854598274224868,1
"482",844,752,0.13655086796611,0.99590037707584
"483",771,756,0.837288931715161,1
"484",226,189,0.376450966029424,0.99590037707584
"485",388,475,0.558914161703065,0.99590037707584
"486",611,788,0.0495664735447518,0.99590037707584
"487",373,446,0.159572994418123,0.99590037707584
"488",632,656,0.679287112959632,1
"489",346,337,0.765921662461534,1
"490",317,322,0.8743050444103,1
"491",524,593,0.55468054926132,0.99590037707584
"492",592,430,0.23826989232467,0.99590037707584
"493",328,337,0.795077529835027,1
"494",376,318,0.369995837697915,0.99590037707584
"495",467,508,0.589048171225313,0.99590037707584
"496",461,455,0.893018956431699,1
"497",897,816,0.68488900346051,1
"498",1049,969,0.76761087193509,1
"499",366,359,0.957082926402465,1
"500",309,294,0.80275390941058,1
"501",581,587,0.957070829976094,1
"502",375,335,0.336574143863393,0.99590037707584
"503",299,283,0.753839644889304,1
"504",1316,885,0.213729530448286,0.99590037707584
"505",1149,1421,0.163832093965986,0.99590037707584
"506",575,465,0.139597222649371,0.99590037707584
"507",1085,1161,0.303514257045925,0.99590037707584
"508",353,393,0.224574870879033,0.99590037707584
"509",635,630,0.96990339427629,1
"510",531,643,0.281468443332599,0.99590037707584
"511",492,564,0.366453380786494,0.99590037707584
"512",755,758,0.963262727410945,1
"513",492,428,0.558236756191048,0.99590037707584
"514",157,134,0.373521566333458,0.99590037707584
"515",349,282,0.106496483794975,0.99590037707584
"516",222,192,0.458661020512475,0.99590037707584
"517",300,321,0.554335372603076,0.99590037707584
